행정구역,2019년1월_남자 인구수,2019년2월_남자 인구수,2019년3월_남자 인구수,2019년4월_남자 인구수,2019년5월_남자 인구수,2019년6월_남자 인구수,2019년7월_남자 인구수,2019년8월_남자 인구수,2019년9월_남자 인구수,2019년10월_남자 인구수,2019년11월_남자 인구수,2019년12월_남자 인구수,위도,경도
충청북도 증평군,19194,19179,19186,19299,19362,19378,19358,19371,19375,19362,19357,19350,36.78528798,127.5814568
충청북도 진천군,41126,41344,41528,41750,41908,41978,42089,42174,42283,42292,42318,42388,36.85487116,127.4357457
충청북도 괴산군,19684,19565,19501,19445,19383,19375,19356,19319,19337,19420,19601,20013,36.8153505,127.7866016
충청북도 음성군,50457,50345,50391,50442,50521,50461,50458,50417,50365,50300,50262,50264,36.94021058,127.6904771
충청북도 단양군,15215,15191,15183,15176,15175,15178,15155,15128,15101,15071,15083,15058,36.98510421,128.3655621
충청남도 천안시,329432,329905,330173,330583,330824,331121,331256,331570,331786,332111,332270,332447,36.81508793,127.1139222
충청남도 공주시,53859,53745,53686,53679,53700,53665,53660,53607,53516,53410,53356,53343,36.44652532,127.1190088
충청남도 보령시,51506,51444,51428,51395,51378,51370,51249,51178,51126,51094,51108,51146,36.33347359,126.6127756
충청남도 아산시,161747,161938,162022,162122,162226,162329,162313,162308,162379,162565,162598,162694,36.78992729,127.0024922
충청남도 서산시,89885,89928,89953,90037,90003,90033,90078,90106,90207,90225,90248,90348,36.78478317,126.4503368
충청남도 논산시,60119,60103,60043,60046,59986,59908,59857,59798,59701,59606,59562,59406,36.18720384,127.0986769
충청남도 계룡시,21643,21586,21569,21536,21553,21517,21500,21501,21488,21426,21419,21338,36.27450688,127.2485308
충청남도 당진시,88447,88464,88499,88416,88390,88356,88343,88319,88388,88368,88357,88299,36.88959597,126.6460108
충청남도 금산군,26768,26777,26753,26689,26625,26604,26544,26519,26475,26388,26362,26309,36.10885289,127.4880279
충청남도 부여군,33662,33606,33536,33457,33393,33364,33304,33295,33273,33166,33097,33049,36.27567229,126.9097853
충청남도 서천군,26568,26515,26483,26418,26414,26373,26339,26280,26224,26193,26161,26110,36.08030449,126.6918535
충청남도 청양군,16118,16074,16028,15973,15962,15922,15877,15827,15842,15839,15896,15997,36.45914434,126.8023368
충청남도 홍성군,50185,50092,50324,50227,50213,50187,50120,50100,50059,50100,49994,49931,36.60131617,126.6608455
충청남도 예산군,40161,40108,40068,40060,39978,39982,39964,39956,39923,39899,39869,39806,36.68088766,126.844815
충청남도 태안군,31876,31863,31863,31882,31854,31866,31855,31867,31832,31781,31733,31715,36.74555213,126.2979723
전라북도 전주시,320887,321493,321781,321999,322113,322084,322168,322183,322352,322558,322581,322236,35.82445746,127.1478665
전라북도 군산시,137808,137669,137515,137412,137292,137193,137077,136952,136831,136726,136613,136421,35.96743059,126.7368529
전라북도 익산시,146056,145514,145212,144978,144749,144600,144409,144193,144060,143879,143593,143392,35.94825493,126.9577833
전라북도 정읍시,55435,55384,55314,55218,55170,55132,55031,55004,54923,54887,54848,54736,35.57000284,126.8563525
전라북도 남원시,40472,40388,40317,40263,40233,40197,40168,40129,40069,40000,39932,39884,35.41632997,127.3903679
전라북도 김제시,42259,42182,42089,42023,41976,41950,41889,41831,41789,41719,41688,41624,35.80330016,126.8807361
전라북도 완주군,48395,48147,48022,47908,47805,47750,47689,47634,47502,47394,47385,47290,35.90482498,127.1620039
전라북도 진안군,13003,12988,13022,13012,12995,12958,12948,12935,12918,12920,12919,12966,35.79178512,127.4245692
전라북도 무주군,12203,12181,12165,12146,12128,12108,12107,12082,12105,12075,12073,12090,36.0067837,127.6607417
전라북도 장수군,11514,11427,11384,11333,11296,11276,11260,11231,11222,11210,11170,11165,35.64729167,127.521172
전라북도 임실군,14858,14720,14613,14569,14497,14461,14440,14388,14346,14276,14463,14659,35.61778264,127.2890493
전라북도 순창군,14065,14044,13990,13968,13920,13908,13887,13860,13834,13800,13748,13756,35.37443426,127.1374233
전라북도 고창군,28189,28072,27909,27876,27877,27818,27743,27680,27637,27594,27504,27418,35.43577681,126.7020803
