행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
영천시,102163,101967,101630,101828,101758,101601,101515,101523,101693,101840,101904,102015,35.97349135,128.9382431
상주시,99814,99438,98967,98644,98435,98201,98038,97875,97689,97633,97483,97228,36.41095303,128.1589549
문경시,71889,71778,71527,71382,71282,71683,71417,71258,71250,71318,71213,71406,36.58683084,128.1870005
경산시,263229,263075,263285,263375,263286,263034,262537,262300,262311,262566,262988,263728,35.82511073,128.741326
군위군,23821,23800,23614,23534,23477,23451,23437,23409,23345,23351,23299,23256,36.24293664,128.5728369
의성군,52674,52516,52333,52236,52148,52142,52051,51940,51895,51879,51827,51724,36.35271338,128.6971422
청송군,25439,25430,25340,25291,25264,25228,25161,25122,25080,25110,25077,25044,36.43628135,129.0569723
영양군,16999,16946,16884,16844,16786,16748,16738,16680,16669,16670,16677,16692,36.66667945,129.1122616
영덕군,37233,37096,36969,36845,36763,36721,36666,36591,36592,36473,36399,36313,36.41501475,129.3656654
청도군,42923,42852,42727,42684,42651,42553,42512,42480,42432,42409,42332,42263,35.64740052,128.733963
고령군,32296,32220,31968,31910,31842,31764,31602,31477,31394,31398,31378,31361,35.72611222,128.2629519
성주군,43975,43904,43682,43627,43582,43488,43426,43319,43231,43205,43225,43414,35.91943449,128.2831702
칠곡군,116772,116456,115924,115780,115658,115345,115177,114889,114719,114780,114951,114758,35.99558435,128.4016028
예천군,55192,55401,55452,55572,55616,55750,55652,55457,55416,55437,55558,55613,36.64687138,128.4372484
봉화군,32052,31957,31951,31889,31843,31823,31777,31701,31637,31625,31555,31494,36.8930961,128.7323988
울진군,49188,49049,48957,48834,48815,48843,48789,48776,48806,48776,48743,48716,36.99308703,129.4004941
울릉군,9521,9457,9348,9269,9243,9239,9250,9211,9191,9200,9128,9077,37.48434523,130.9057502
창원시,1044579,1043874,1042260,1041553,1040773,1040118,1039595,1038677,1038101,1037709,1037161,1036738,35.22797503,128.6818146
창원시의창구,260206,261904,262140,262241,262729,263184,263373,263432,263271,263161,262743,262408,35.25378964,128.6403
창원시성산구,219933,218885,218233,217948,217430,216982,216658,216218,215811,215523,215143,214570,35.19840389,128.7028
