행정구역,2019년01월_총인구수,2019년01월_남자 인구수,2019년01월_여자 인구수,2019년02월_총인구수,2019년02월_남자 인구수,2019년02월_여자 인구수,2019년03월_총인구수,2019년03월_남자 인구수,2019년03월_여자 인구수,2019년04월_총인구수,2019년04월_남자 인구수,2019년04월_여자 인구수,2019년05월_총인구수,2019년05월_남자 인구수,2019년05월_여자 인구수,2019년06월_총인구수,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년07월_총인구수,2019년07월_남자 인구수,2019년07월_여자 인구수,2019년08월_총인구수,2019년08월_남자 인구수,2019년08월_여자 인구수,2019년09월_총인구수,2019년09월_남자 인구수,2019년09월_여자 인구수,2019년10월_총인구수,2019년10월_남자 인구수,2019년10월_여자 인구수,2019년11월_총인구수,2019년11월_남자 인구수,2019년11월_여자 인구수,2019년12월_총인구수,2019년12월_남자 인구수,2019년12월_여자 인구수,위도,경도
대전광역시 대덕구,181466,92238,89228,180940,91964,88976,180573,91748,88825,180249,91620,88629,179829,91388,88441,179402,91183,88219,178955,90966,87989,178588,90754,87834,178366,90645,87721,177910,90416,87494,177521,90223,87298,177031,90030,87001,36.34692581,127.4155614
울산광역시 중구,231220,117573,113647,230301,117074,113227,229175,116476,112699,228014,115845,112169,227255,115444,111811,226713,115172,111541,226188,114917,111271,225657,114617,111040,225197,114360,110837,224730,114110,110620,224238,113876,110362,223581,113526,110055,35.56970355,129.3327733
울산광역시 남구,330403,168380,162023,329765,168092,161673,328742,167572,161170,327868,167129,160739,327259,166866,160393,326698,166569,160129,325875,166090,159785,325174,165732,159442,324701,165488,159213,324380,165323,159057,324056,165100,158956,323819,165062,158757,35.54394782,129.330126
울산광역시 동구,164172,85854,78318,163430,85492,77938,162806,85184,77622,162298,84917,77381,161931,84729,77202,161582,84522,77060,161327,84343,76984,161017,84187,76830,160768,84039,76729,160449,83827,76622,160106,83617,76489,159656,83391,76265,35.50516123,129.4167348
울산광역시 북구,207267,107153,100114,208378,107716,100662,210049,108543,101506,211922,109491,102431,213027,109995,103032,213854,110430,103424,214607,110828,103779,215276,111192,104084,215753,111457,104296,216421,111824,104597,217309,112336,104973,217796,112588,105208,35.582905,129.3612179
울산광역시 울주군,221724,114476,107248,221861,114479,107382,222028,114587,107441,222191,114655,107536,222213,114656,107557,222454,114756,107698,222894,114983,107911,223170,115161,108009,223454,115275,108179,223429,115248,108181,223213,115169,108044,223167,115145,108022,35.52252665,129.2425116
세종특별자치시 세종특별자치시,316814,158090,158724,320326,159860,160466,322693,161056,161637,324417,161944,162473,325777,162578,163199,327643,163528,164115,330298,164832,165466,332098,165740,166358,333757,166548,167209,336356,167810,168546,338647,168916,169731,340575,169845,170730,36.48045322,127.2892442
경기도 수원시,1200038,604383,595655,1199495,604076,595419,1199599,604349,595250,1198461,603839,594622,1197648,603426,594222,1197153,603047,594106,1196323,602650,593673,1195318,601973,593345,1196074,602477,593597,1195204,601900,593304,1194834,601697,593137,1194465,601410,593055,37.26355925,127.0285973
경기도 성남시,953447,471956,481491,952364,471470,480894,950916,470796,480120,949316,470051,479265,948582,469736,478846,947990,469325,478665,946568,468589,477979,945546,468086,477460,944741,467683,477058,943585,467031,476554,942929,466737,476192,942724,466644,476080,37.42022748,127.1266546
경기도 의정부시,448363,221006,227357,449121,221316,227805,449803,221565,228238,450332,221796,228536,450695,221978,228717,450961,222135,228826,451208,222289,228919,451843,222583,229260,451846,222617,229229,451841,222605,229236,451833,222627,229206,451868,222590,229278,37.73825019,127.033733
